id,title,artist,year,medium,dimensions,artist_photo_url,tags,description,image_url
PAM-031,Tano Andaliman,Jesika Marilyn Veronica Napitupulu,2026,Batik Tulis,60 x 80 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Jesika Marilyn Veronica Napitupulu.JPG,"batik tulis, andaliman, budaya batak, tradisional","Tano Andaliman merupakan karya batik tulis yang terinspirasi dari andaliman, rempah khas Batak yang tumbuh subur di tanah Batak dan menjadi bagian penting dalam kehidupan masyarakatnya. Selain dikenal sebagai bumbu utama dalam berbagai masakan tradisional seperti arsik, andaliman juga dimaknai sebagai simbol kekayaan alam, identitas budaya, serta keterikatan masyarakat Batak terhadap tanah asalnya. Karya ini terbagi menjadi tiga panel yang merepresentasikan tiga nilai filosofis dalam budaya Batak melalui tiga warna utama, yaitu merah, putih, dan hitam. Warna merah dimaknai sebagai Hagogoon, yaitu kekuatan dan keberanian untuk bertahan serta bertumbuh. Warna putih dimaknai sebagai Sohaliapan, yang melambangkan kesucian, ketulusan, dan keseimbangan hidup. Sementara warna hitam dimaknai sebagai Hahomion, simbol kehormatan, kewibawaan, dan keagungan dalam kehidupan masyarakat Batak. Pada panel dominan merah, divisualisasikan siklus pertumbuhan andaliman mulai dari bunga hingga buah yang matang dan meletup. Proses tersebut menjadi simbol keberanian dalam menghadapi perjalanan pertumbuhan dan perubahan kehidupan. Bentuk-bentuk dekoratif yang disusun berulang menghadirkan kesan dinamis sekaligus menggambarkan kesinambungan antara alam dan kehidupan manusia. Panel dominan putih menghadirkan motif Duri Marende atau ""duri bernyanyi"" yang ditempatkan pada sisi kain sebagai elemen penjaga. Duri dimaknai bukan hanya sebagai bentuk perlindungan, tetapi juga sebagai simbol harmoni antara ketegasan dan keindahan. Kehadirannya menjadi representasi nilai Sohaliapan, yaitu kesucian yang dijaga melalui keseimbangan dan kekuatan batin. Sementara itu, panel dominan hitam menampilkan motif buah andaliman secara lebih sederhana dan tegas sebagai pusat visual utama. Warna hitam merepresentasikan Hahomion, yaitu keagungan dan kehormatan tanah Batak, sekaligus menegaskan keistimewaan andaliman sebagai rempah khas yang tumbuh dari tanah yang kaya akan tradisi dan identitas budaya. Melalui Tano Andaliman, pencipta menghadirkan batik sebagai medium untuk merawat ingatan budaya dan memperkenalkan identitas lokal Batak melalui bahasa visual dekoratif. Karya ini menjadi bentuk penghormatan terhadap tanah Batak, kekayaan alamnya, serta warisan budaya yang terus hidup dan diwariskan dari generasi ke generasi.",
PAM-032,Di Ingot Tu Salelengna,Nikson Fardy Pardede,2026,Gambar Digital,60 x 40 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Nikson Fardy Pardede.JPG,"akrilik, kontemporer, abstrak","Karya ini menggambarkan empat ikon budaya Batak yaitu Sigale-gale, Raja Batak, Tunggal Panaluam, dan Singa-singa yang digamabarkan sebagai patung monumental dalam museum modern. Keempatnya berdiri megah di bawah lengkungan arsitektur futuristik, menyimbolkan warisan leluhur yang abadi melampaui zaman. Museum modern menjadi ruang pertemuan antara masa lalu dan masa depan. Cahaya dramatis yang menerangi setiap patung mencerminkan bagaimana budaya Batak layak dipandang sebagai warisan agung bukan sekadar artefak, melainkan identitas yang hidup dan terus bersinar.",
PAM-033,Rap Hita Nadua,Rahma Delila Harahap,2026,Digital Painting,60 x 40 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Rahma Delila Harahap.JPG,"akrilik, kontemporer, abstrak","Karya ini menampilkan dua tangan yang akan saling menggenggam dengan cincin emas tersemat pada jari manis sebagai lambang kebersamaan. Bagas godang yang menjadi latar belakang melambangkan tempat pulang kelak, dengan air yang terus mengalir sebagai lambang hidup kian bergulir. Langit dengan semburan senja namun langit biru masih membersamai seakan bersuara ini awal mula kebersamaan.
Bunga raflesia turut andil, bukan hanya sekadar pemanis namun keunikan serta keelokan yang dimilikinya menjadi daya tarik. Kepala kerbau seolah berbicara setiap insan memiliki kedudukan penting.
Suasana hangat yang dibalut oleh senja belum berakhir, masih berlanjut dengan balutan ulos dan songket. Kilau anggun dari tanggai, perhiasan emas di jemari perempuan yang hanya bertahta megah saat pesta adat digelarkan, kian mempertegas keagungan momen yang sakral. Serta kalimat yang membersamai “rap hita nadua”, seolah menegaskan ikrar suci bahwa langkah ke depan tak lagi diayun sendiri, melainkan beriringan menenun masa depan dalam kehangatan tradisi dan keabadian cinta.",
PAM-034,Karya Rahmatul Adania,Rahmatul Adania,2026,Akrilik,60 x 40 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Rahmatul Adania.JPG,"akrilik, kontemporer, abstrak",Karya seni lukis akrilik oleh Rahmatul Adania,
PAM-035,The charm of the bride of North Sumatra Java,Reno Rivandi,2026,Akrilik,60 x 80 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Reno Rivandi.JPG,"akrilik, kontemporer, abstrak","Karya lukis ini menampilkan sosok pengantin Jawa yang anggun dalam balutan busana adat tradisional. Dilukis menggunakan media cat akrilik di atas kanvas, karya ini mengangkat keindahan budaya Jawa melalui penggambaran figur perempuan dengan riasan serta atribut khas pengantin adat. Ekspresi wajah yang tenang dan tatapan yang kuat menggambarkan kelembutan, keanggunan, serta wibawa perempuan Jawa.
Dalam proses penciptaannya, karya ini memadukan teknik lukis dengan penggunaan elemen tiga dimensi berupa rangkaian melati buatan yang diaplikasikan langsung pada bagian ronce pengantin. Penggunaan melati tersebut memperkuat karakter visual pengantin Jawa sekaligus menjadi simbol kesucian, keharuman, dan sakralnya prosesi pernikahan adat. Selain itu, tambahan glitter pada detail busana adat memberikan efek berkilau yang mempertegas kemewahan dan keindahan ornamen pakaian.
Dominasi warna cokelat keemasan pada latar menghadirkan suasana hangat dan klasik sehingga figur pengantin menjadi pusat perhatian dalam karya. Melalui perpaduan teknik lukis, tekstur, dan elemen tambahan, karya ini menjadi bentuk apresiasi terhadap keindahan tradisi serta kekayaan budaya Indonesia, khususnya budaya Jawa.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-035.jpg
PAM-036,Karya Tazlila Irfani,Tazlila Irfani,2026,Akrilik,60 x 80 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Tazlila Irfani.JPG,"akrilik, kontemporer, abstrak",Karya seni lukis akrilik oleh Tazlila Irfani,
PAM-037,penjaga cahaya dharma,Therechya Uted Recht Sitompul,2026,Akrilik,80 x 60 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Therechya Uted Recht Sitompul.JPG,"akrilik, kontemporer, abstrak","Lukisan cat minyak di atas kanvas ini menangkap esensi dan energi yang kuat dari kepala Barong, makhluk mitologi suci dalam budaya Bali, yang merupakan perwujudan energi positif (Dharma) dalam pertarungan abadi melawan kejahatan (Adharma).
Karya ini didominasi oleh kepala Barong yang ditampilkan secara terpusat dan dinamis. Wajah merah-jingga yang mencolok dengan mata melotot dan ekspresi garang (wajah raksasa) ditampilkan dengan detail tekstur yang tajam. Rahangnya yang terbuka lebar, memperlihatkan taring-taring tajam yang berkilau, memancarkan keberanian yang tak terbendung.
Fitur yang paling membedakan adalah mahkota ornamen di bagian atas kepala, yang dilukis dengan warna keemasan dan kuning cerah yang menyala, meniru kobaran api dan lingkaran cahaya (halo), yang melambangkan kekuatan suci dan cahaya Dharma. Bulu-bulu Barong di sekitar wajah dan leher, yang biasanya terbuat dari serat palem, dilukis dengan guratan-guratan tajam berwarna hitam dan abu-abu, memberikan kesan gerakan dan kehadiran yang berat. Dua tiang ornamen emas di bagian bawah tampak seperti pilar istana atau altar, menopang perwujudan agung ini, dihiasi dengan detail kain catur (pola kotak-kotak hitam-putih) yang juga merupakan simbol Rwa Bhineda (dualitas).",
PAM-038,Sekar Pertiwi ,Thresia Napitupulu,2026,Batik Tulis,150 x 100cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Thresia Napitupulu.JPG,"akrilik, kontemporer, abstrak","Sekar Pertiwi merupakan karya batik tulis yang terinspirasi dari keindahan dan keberagaman budaya Nusantara. Judul ini berasal dari kata “Sekar” yang berarti bunga, simbol keindahan, keharuman, dan keanggunan, serta “Pertiwi” yang bermakna tanah air atau ibu pertiwi sebagai lambang Indonesia. Melalui karya ini, Indonesia digambarkan layaknya bunga yang tumbuh dan bermekaran indah di tanah pertiwi.
Karya ini memadukan motif flora, ornamen tradisional, dan pola geometris yang tersusun harmonis. Motif bunga anggrek melambangkan keindahan, kelembutan, dan keteguhan. Motif kawung mengandung makna kesucian, keseimbangan, serta pengendalian diri, sekaligus menjadi pengingat agar manusia tidak melupakan asal-usul dan nilai luhur budaya. Sementara itu, unsur mega mendung melambangkan ketenangan, kesabaran, perlindungan, dan harapan akan kehidupan yang damai serta sejuk.
Melalui perpaduan motif dan warna yang lembut, membentuk makna tentang  keindahan yang tumbuh dari keteguhan, keseimbangan yang dijaga oleh nilai luhur, serta keteduhan yang menaungi perjalanan kehidupan. Sekar Pertiwi menjadi simbol mekarnya warisan budaya Indonesia yang anggun, berakar kuat pada tradisi, namun tetap hidup dan relevan mengikuti perkembangan zaman.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-038.jpg
PAM-039,Karya Windi Wulandari,Windi Wulandari,2026,Akrilik,60 x 80 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Windi Wulandari.JPG,"akrilik, kontemporer, abstrak",Karya seni lukis akrilik oleh Windi Wulandari,
PAM-040,(need data),Desy Novita Berutu,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Desy Novita Berutu.JPG,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-040.JPG
PAM-041,(need data),Adriana Joy Kristin Simbolon,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Adriana Joy Kristin Simbolon_.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-041.jpg
PAM-042,(need data),Devi Patricia Gurning,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Devi Patricia Gurning_.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-042.jpg
PAM-043,(need data),Elisabeth Hulu,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Elisabeth Hulu.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-043.jpg
PAM-044,(need data),Hidayatul Husna Harahap,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Hidayatul Husna Harahap.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-044.jpg
PAM-045,(need data),Jeni Pebrianti Rambe,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Jeni Pebrianti Rambe.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-045.jpg
PAM-046,(need data),Juniska Della Meliasny Saragih,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Juniska Della Meliasny Saragih.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-046.jpg
PAM-047,(need data),Nur Jannah Harahap,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Nur Jannah Harahap.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-047.jpg
PAM-048,(need data),Stephany Wulandary Sihombing,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Stephany Wulandary Sihombing.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-048.jpg
PAM-049,(need data),Supriati Sinaga,2026,Batik,,,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-049.jpg
PAM-050,(need data),Veronika Br Sinuhaji,2026,Batik,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/VERONIKA BR SINUHAJI_.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-050.jpg
PAM-051,(need data),Riofranciskussinaga,2026,Kayu,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Riofranciskussinaga.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-051.jpg
PAM-052,(need data),Muhammad Adib Alfaruq,2026,Lukis,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Muhammad Adib Alfaruq.jpeg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-052.jpeg
PAM-053,(need data),Nida Nafilah,2026,Lukis,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Nida Nafilah.jpg,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-053.jpg
PAM-054,(need data),Ricky Lumban Gaol,2026,Lukis,,,,(need data),https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-054.jpg
PAM-055,(need data),Alfia Rahma,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Alfia Rahma.jpg,,(need data),
PAM-056,(need data),Sintiya Indriyani,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Sintiya Indriyani.JPG,,(need data),
PAM-057,(need data),Syahdika Alakbar,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Syahdika Alakbar_.jpg,,(need data),
PAM-058,(need data),Nazwah Nur hafizah,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Nazwah Nur hafizah.jpg,,(need data),
PAM-059,(need data),Ares Fadillah,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Ares Fadillah.png,,(need data),
PAM-060,(need data),Citra Irawan,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Citra Irawan.jpg,,(need data),
PAM-061,(need data),Diya Mirza,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Diya Mirza.JPG,,(need data),
PAM-062,(need data),Fadlin Pulungan,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Fadlin Pulungan_.jpg,,(need data),
PAM-063,(need data),Ferdi Hutabarat,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/FERDI HUTABARAT.JPG,,(need data),
PAM-064,(need data),Gio Tinambunan,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Gio Tinambunan.JPG,,(need data),
PAM-065,(need data),Marlon,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Marlon_MG_1049.JPG,,(need data),
PAM-066,(need data),Salsabila Adnin Daulay,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Salsabila Adnin Daulay.JPG,,(need data),
PAM-067,(need data),Seviyana Chaira Br Tarigan,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/SEVIYANA CHAIRA BR TARIGAN.jpg,,(need data),
PAM-068,(need data),Surya Zulfachrinal Tanjung,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Surya Zulfachrinal Tanjung_.jpg,,(need data),
PAM-069,(need data),Anis Radhiyyah Simanjuntak,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Anis Radhiyyah Simanjuntak.jpg,,(need data),
PAM-070,(need data),Ikhlas purnama,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Ikhlas purnama.jpg,,(need data),
PAM-071,(need data),Rido,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Rido.jpg,,(need data),
PAM-072,(need data),Rubin Artha Yeremia Halawa,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Rubin Artha Yeremia Halawa (2).JPG,,(need data),
PAM-073,(need data),Suci Rahmadani Br Padang,2026,,,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Suci Rahmadani Br Padang.jpg,,(need data),
